w,w
bu,bu
pu,pu
mu,mu
fu,fu
du,du
tu,tu
nu,nu
lu,lu
gu,gu
ku,ku
hu,hu
zhu,zhu
chu,chu
shu,shu
ru,ru
zu,zu
cu,cu
su,su
